Year,15-16QA,37-4QA,39-8QA,88-12QA,89-12QA,95-8QA,117-8QA,133-12QA,138-8QA,179-4QA,184-4QA,206-12QA,210-8QA,215-8QA, 223-4QA,233-12QA,237-8QA,238-8QA,261-16QA,278-16QA, 18-16QR,20-12QR,21-8QR,54-12QR,63-8QR,74-12QR,77-QR,92-QR,94-16QR,109-15QR,118-QR,129-16QR,134-8QR,135-4QR,140-12QR,165-QR,172-12QR,180-12QR,182-12QR,183-8QR,187-12QR,194-12QR,205-8QR,207-4QR,213-12QR,217-12QR,224-QR,227-11QR,236-12QR,239-4QR,241-4QR,245-8QR,276-4QR,277-12QR,46-8QV,62-8QV,65-8QV,178-8QV,230-16QV,274-8QV,125-12QP,22-12QM,23-8QM,79-8 QM
1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,0.62,,,,,,,,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,0.844,,,,,,,,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,0.368,,,,,,,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,0.583,,,,,,,,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,0.491,,,,,,,,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,0.251,,,,,,,,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,0.661,,,,,,,,0.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,0.701,,,,,,,,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,0.235,,,,,,,,1.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,0.492,,,,,,,,2.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,0.398,,,,,,,,1.408,,,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,0.37,,,,,,,,1.87,,,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,0.194,,,,,,,,1.062,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,0.133,,,,,,,,1.401,,,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,0.156,,,,,,,,0.495,,,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,0.216,,,,,,,,0.813,,,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,0.226,,,,,,,,0.846,,,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,,,,,,,0.214,,,,,,,,1.524,,1.19,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.077,,,,,,,,,,,,,,,,,
1826,,,,,,,0.223,,,,,,,,1.795,,0.943,1.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016,,,,,,,,,,,,,,,,,
1827,,,,,,,0.16,,,,,,,,2.031,,0.756,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.244,,,,,,,,,,,,,,,,,
1828,,,,,,,0.133,,,,,,,,2.045,,0.92,1.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.791,,,,,,,,,,,,,,,,,
1829,,,,,,,0.217,,,,,,,,1.889,,0.839,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.005,,,,,,,,,,,,,,,,,
1830,,1.198,,,,,0.108,,,,,,,,1.83,,1.025,1.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.356,,,,,,,,,,,,,,,,,
1831,,1.063,,,,,0.256,,,,,,,,1.162,,1.172,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325,,,,,,,,,,,,,,,,,
1832,,0.646,,,,,0.416,,,,,,,,1.09,,0.438,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.667,,,,,,,,,,,,,,,,,
1833,,0.877,,,,,0.4,,,,,,,,1.469,,0.424,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.764,,,,,,,,,,,,,,,,,
1834,,1.519,,,,,0.448,,,,,,,,1.798,,0.373,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.792,,,,,,,,,,,,,,,,,
1835,,0.947,,,,,0.658,,,,,,,,1.145,,0.376,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.045,,,,,,,,,,,,,,,,,
1836,,1.041,,,,,0.573,,,,,,,,1.438,,0.221,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.104,,,,,,,,,,,,,,,,,
1837,,1.103,,,,,0.786,,,,,,,,1.33,,0.322,0.533,1.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,,,,,,,,,,
1838,,1.142,,,,,0.297,,,,,,,,1.284,,0.572,0.386,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668,,,,,,,,,,,,,,,,,
1839,,1.235,,,,,0.633,,,,,,,,1.155,,0.332,0.628,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.026,,,,,,,,,,,,,,,,,
1840,,1.283,,,,,0.205,,,,,,,,1.081,,0.275,0.622,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.298,,,,,,,,,,,,,,,,,
1841,,1.352,,,,,0.168,,,,,,,,1.025,,0.324,0.568,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.728,,,,,,,,,,,,,,,,,
1842,,1.629,,,,,0.189,,,,,,,,0.964,,0.478,0.573,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.606,,,,,,,,,,,,,,,,,
1843,,1.193,,,,,0.174,,,,,,,,0.877,,0.653,0.84,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815,,,,,,,,,,,,,,,,,
1844,,1.162,,,,,0.332,,,,,,,,0.795,,0.524,0.841,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.525,,,,,,,,,,,,,,0.404,,,
1845,,0.706,,,,,0.16,,,,,,,,0.875,,0.524,0.79,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,,,,,,,,,,,,,,0.452,,,
1846,,0.685,,,,,0.15,,,,,,,,1.741,,0.696,1.081,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.946,,,,,,,,,,,,,,0.386,,,
1847,,0.686,,,,,0.191,,,,,,,,1.393,,0.78,0.487,0.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.224,,,,,,,,,,,,,,0.287,,,
1848,,1.021,,,,,0.24,,,,,1.36,,,2.2,,0.748,0.808,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.709,,,,,,,,,,,,,,0.316,,,
1849,,1.243,,,,,0.159,,,,,1.015,,,1.697,,0.836,0.791,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.977,,,,,,,,,,,,,,0.304,,,
1850,,1.356,,,,,0.141,,,,,1.189,,,1.53,,0.502,0.837,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.641,,,,,,,,,,,,,,0.26,,,
1851,,1.533,,,,,0.202,,,,,0.869,,,1.577,,0.427,0.654,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.643,,,,,,,,,,,,,,0.254,,,
1852,,0.924,,,,,0.236,,,,,0.967,,,1.444,,0.389,0.953,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.235,,,,,,,,,,,,,,0.23,,,
1853,,0.648,,,,,0.273,,,,,0.825,,,1.66,,0.536,1.008,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.142,,,,,,,,,,,,0.884,,0.388,,,
1854,,1.024,,,,,0.183,,,,,0.729,,,1.744,,0.389,0.468,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.873,,,,,,,,,,,,0.571,,0.331,,,
1855,,0.987,,,,,0.199,,,,,0.858,,,1.398,,0.385,0.528,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.213,,,,,,,,,,,,0.78,,0.736,,,
1856,,0.819,,,,,0.208,,,,,0.852,,,1.864,,0.46,0.407,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.239,,,,,,,,,,,,1.589,,0.573,,,
1857,,0.824,,,,,0.189,,,,,0.51,,,0.997,,0.414,0.473,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.247,,,,,,,,,,,,1.1,,0.72,,,
1858,,0.592,,,,,0.177,,,,,0.653,,,1.187,,0.493,0.457,0.429,,,,,,,,,,,,,,,0.427,,,,,,,,,,,,,2.112,,,,,,,,,,,,1.089,,0.624,,,
1859,,1.595,,,,,0.142,,,,,0.626,,,1.641,,0.266,0.397,0.375,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,1.672,,,,,,,,,,,,1.111,,0.305,,,
1860,,1.388,,,,,0.185,,,,,0.559,,,2.045,,0.25,0.242,0.301,,,,,,,,,,,,,,,0.489,,,,,,,,,,,,,1.609,,,,,,,,,,,,1.951,,0.242,,,
1861,,0.931,,,,,0.143,,,,,0.577,,,1.447,,0.623,0.325,0.418,,,,,,,,,,,,,,,0.867,,,,,,,,,,,,,1.561,,,,,,,,,,,,1.559,,1.245,,,
1862,,0.941,,,,,0.076,,,,,0.496,,,1.998,,0.215,0.397,0.331,,,,,,,,,,,,,,,1.084,,,,,,,,,,,,,1.394,,,,,,,,,,,,1.705,,1.451,,,
1863,,1.472,,,,,0.181,,,,,0.573,,,2.281,,0.494,0.332,0.394,,,,,,,,,,,,,,,0.354,,,,,,,,,,,,,1.161,,,,,,,,,,,,1.894,,1.478,,,
1864,,0.728,,,,,0.385,,,,,0.382,,,2.244,,0.528,0.429,0.236,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,0.932,,,,,,,,,,,,2.036,,0.899,,,
1865,,0.971,,,,,0.29,,,,,0.409,,,2.779,,0.556,0.291,0.396,,,,,,,,,,,,,,,0.439,,,,,,,,,,,,,1.13,,,,,,,,,,,,1.528,,1.578,,,
1866,,0.761,,,,,0.48,,,,,0.307,,,1.847,,0.218,0.316,0.256,,,,,,,,,,,,,,,0.531,,,,,,,,,,,,,1.227,,,,,,,,,,,,1.681,,1.386,2.169,,
1867,,0.84,,,,,0.203,,,,,0.286,,,2.522,3.488,0.339,0.29,0.275,,,,,,,,,,,,,,,0.596,,,,,,,,,,,,,1.191,,,,,,,,,,,,1.495,,1.194,2.108,,
1868,,0.621,,,,,0.129,,,,,0.311,,,1.942,1.945,0.428,0.318,0.145,,,,,,,,,,,,,,,0.461,,,,,,,,,,,,,1.321,,,,,,,,,,,,1.534,,0.978,2.507,,
1869,,1.284,,,,,0.273,,,,,0.26,,,2.561,2.016,0.229,0.978,0.357,,,,,,,,,,,,,,,0.407,,,,,,,,,,,,,0.937,,,,,,,,,,,,1.421,,1.536,3.283,,
1870,,1.076,,,,,0.14,,,,,0.299,,,1.793,1.876,0.314,0.43,0.314,,,,,,,,,,,,,,,0.446,,,,,,,,,,,,,1.354,,,,,,,,,,,,1.419,,1.194,3.197,,
1871,,0.925,,,,,0.339,,,,,0.362,,,1.898,2.539,0.311,0.663,0.188,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,,1.191,,,,,,,,,,,,1.513,,1.088,2.745,,
1872,,0.874,,,,,0.256,,,,,0.315,,,1.554,2.513,0.61,0.466,0.197,,,,,,,,,,,,,,,0.461,,,,,,,,,,,,,1.077,,,,,,,,,,,,2.568,,0.971,2.77,,
1873,,1.038,,,,,0.222,,,,,0.412,,,1.585,2.23,0.667,0.941,0.088,,,,,,,,,,,,,,,1.193,,,,,,,,,,,,,0.946,,,,,,,,,,,,3.781,,1.292,2.598,,
1874,,1.114,,,,,0.141,,,,,0.295,,,1.806,3.091,0.571,0.962,0.192,,,,,,,,,,,,,,,1.197,,,,,,,,,,,,,0.714,,,,,,,,3.122,,,,2.418,,1.416,2.883,,
1875,,1.128,,,,,0.204,,,,,0.264,,,1.95,3.382,0.387,0.744,0.224,,,,,,,,,,,,,,,1.069,,,,,,,,,,,,,0.771,,,,,,,,3.428,,,,2.043,,1.541,2.721,,
1876,,1.154,,,,,0.269,,,,,0.369,,,2.704,3.457,0.317,0.896,0.372,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,1.133,,,,,,,,2.517,,,,1.588,,1.415,2.993,,
1877,,0.882,,,,,0.165,,2.291,,,0.29,,,3.119,3.015,0.23,1.273,0.706,,,,,,,,,,,,,2.586,,1.038,,,,,,,,,,,,,1.191,,,,,,,,1.942,,,,1.308,,1.605,3.393,,
1878,,1.087,,,,,0.173,,3.401,,,0.22,,1.38,2.884,3.583,0.515,1.557,0.881,,,,,,,,,,,,,4.122,,1.058,,,,,,,,,,,,,1.164,,,,,,,,2.895,,,,1.057,,1.357,3.265,,
1879,1.632,1.259,,,,,0.099,,1.27,,,0.383,,1.016,3.409,3.816,0.357,1.299,0.905,,,,,,,,,,,,,3.548,,0.965,,,,,,,,,,,,,1.313,,,,,,,,2.418,,,,1.187,,1.321,2.859,,
1880,1.257,1.083,,2.143,,,0.333,,1.752,,,0.397,,0.932,2.83,4.833,0.495,1.058,0.723,,,,,,,,,,,,,3.846,,0.899,,,,,,,,,,,,,1.338,,,,,,,,2.371,,,,2.177,,1.144,3.182,,
1881,1.682,1.149,,2.862,,,0.69,,2.468,,,0.326,,0.625,3.414,4.41,0.473,1.414,0.91,,,,,,,,,,,,,4.4,,1.167,,,,,,,,,,,,,1.013,,,,,,,,1.823,,,,1.675,,1.217,3.687,4.509,
1882,1.306,0.838,,2.314,,,0.632,,2.209,,,0.368,,0.457,2.451,3.561,0.614,0.991,0.793,,,,,,,,,,,,,3.646,,0.87,,,,,,,,,,,,,1.181,,,,,,,,1.567,,,,1.251,,1.064,3.717,3.779,
1883,2.571,1.049,,3.044,,,0.666,,3.231,,,0.224,,0.746,2.32,2.296,0.532,0.9,1.201,,,,,,,,,,,,,4.787,,0.996,,,,,,,,,,,,,1.494,,,,,,,,1.047,,,,1.228,,0.868,3.605,3.35,
1884,2.668,1.137,,2.337,,,0.586,,1.881,,,0.322,,0.932,2.489,3.145,0.538,0.508,1.059,,,,,,,,,,,,,3.856,,1.019,,,,,,,,,,,,,1.247,,,,,,,,1.273,,,,1.658,,0.916,2.806,2.895,
1885,3.385,1.485,,3.315,,,0.35,,2.637,,,0.22,,0.806,2.664,1.776,0.818,0.818,0.937,,,,,,,,,,,,,4.822,,1.226,,,,,,,,,,,,,1.697,,,,,,,,1.344,,,,2.503,,0.97,2.965,3.087,
1886,3.162,1.632,,1.989,,,0.412,,2.267,,,0.232,,0.474,2.418,2.414,0.664,0.601,0.615,,,,,,,,,,,,,3.359,,1.016,,,,,,,,,,,,,2.635,,,,,,,,1.946,,,,2.418,,0.775,1.968,3.286,
1887,2.723,1.311,,2.308,,,0.229,,2.758,,,0.156,,0.628,1.773,1.802,0.409,0.351,0.545,,,,,,,,,,,,,4.102,,0.98,,,,,,,,,,,,,2.157,,,,,,,,2.25,,,,2.291,,0.96,2.24,4.129,
1888,1.803,1.079,,2.085,,,0.269,,2.54,,,0.354,,0.375,1.987,1.728,0.456,0.426,0.792,,,,,,,,,,,,,3.546,,0.969,,,,,,,,,,,,,1.728,,,,,,,,1.856,,,,2.91,,0.926,2.619,4.398,
1889,3.009,1.42,,3.676,,,0.263,,2.145,,,0.444,,0.404,2.302,2.406,0.75,0.484,1.419,,,,,,,,,,,,,5.269,,0.962,,,,,,,,,,,,,1.551,,,,,,,,2.315,,,,2.347,,1.264,3.542,3.691,
1890,2.148,0.901,,2.005,,,0.445,,2.68,,,0.455,,0.319,1.676,2.244,0.495,0.441,0.689,,,,,,,,,,,,,4.763,,1.183,,,,,,,,,,,,,1.812,,,,,,,,1.798,,,,2.414,,1.15,1.77,2.751,
1891,2.843,1.344,,2.222,,,0.233,,1.855,,,0.42,,0.303,2.368,2.002,0.378,0.304,0.784,,,,,,,,,,,,,3.349,,0.998,,,,,,,,,,,,,1.87,,,,,,,,1.948,,,,2.04,,1.22,1.371,2.472,
1892,2.556,1.126,,1.638,,,0.323,,2.793,,,0.297,,0.257,3.012,1.46,0.498,0.49,0.574,,,,,,,,,,,,,2.885,,0.906,,,,,,,,,,,,,1.762,,,,,,,,1.973,,,,2.198,,1.416,1.791,2.776,
1893,1.527,0.904,,1.032,,,0.238,,1.854,,,0.33,,0.366,2.017,1.412,0.527,0.412,0.395,,,,,,,,,,,,,2.885,,1.015,,,,,,,,,,,,,1.087,,,,,,,,1.955,,,,1.856,,0.991,1.51,3.726,
1894,1.785,0.754,,0.697,,,0.458,,2.059,,,0.403,,0.35,2.319,1.038,0.959,0.474,0.19,,,,,,,,,,,,2.938,3.104,,0.636,,,,,,,,,,,,,1.135,,,,,,,,1.514,,,,1.539,,0.887,1.335,2.534,
1895,1.198,0.725,,0.352,,,0.486,,1.688,,,0.29,,0.32,2.042,1.299,0.747,0.361,0.124,,,,,,,,,,,,2.475,2.893,,0.801,,,,,,,,,,,,,1.619,,,,,,,,1.368,,,,1.294,,0.963,1.249,2.032,
1896,2.476,0.734,,1.081,,,1.076,,2.168,1.115,,0.475,,0.279,1.861,1.098,1.132,0.691,0.159,,,,,,,,,,,,2.693,3.702,,0.758,,,,,,,,,,,,,1.426,,,,,,,,1.162,,,,1.324,,0.949,2.05,2.745,
1897,2.307,0.965,,1.552,,,0.515,,2.126,1.588,,0.499,,0.335,1.948,1.274,0.786,0.959,0.152,,,,,,,,,3.118,,,2.55,5.25,,1.663,,,,,,,,,,,,,1.303,,,,,,,,1.417,,,,1.396,,0.882,1.486,2.575,
1898,1.607,0.566,,1.097,,,0.356,,2.694,1.209,,0.278,,0.243,1.564,1.299,0.649,0.887,0.175,,,,,,,,,2.508,,,1.782,3.248,,1.302,,,,,,,,,,,,,1.493,,,,,,,,1.182,,,,1.643,,0.75,1.36,1.921,
1899,2.398,0.892,,0.791,,,0.408,,1.824,1.714,,0.3,,0.269,1.747,1.078,1.024,0.814,0.154,,,,,,,,,3.127,,,1.602,2.925,,1.187,,,,,,,,,2.272,,,,0.89,,,,,,,,1.01,,,,2.19,,0.814,0.993,1.982,
1900,1.789,0.673,,0.834,,,0.644,,2.037,1.118,,0.256,,0.201,1.386,0.982,0.692,0.933,0.286,,,,,,,,,5.598,,,1.598,2.542,,1.153,,,,,,,,,2.124,,,,1.142,,,,,,,,0.868,,,,1.34,,0.773,1.402,1.949,
1901,2.431,0.544,,1.084,,,0.674,2.152,2.502,2.055,,0.263,,0.209,1.365,1.031,0.769,1.042,0.119,,,,,,,,,4.281,,,1.412,2.698,,0.867,,,,,,,,,2.459,,,,0.76,,,,,,,,0.753,,,,1.129,,0.692,1.298,1.87,
1902,2.371,1.368,,3.51,,,0.989,3.075,2.881,2.961,,0.354,,0.226,1.794,1.973,0.839,2.157,0.153,,,,,,,,,4.632,,,2.008,3.986,,0.97,,,,,,,,,1.854,,,,1.618,,,,,,,,2.006,,,,1.926,,1.077,1.067,1.94,
1903,2.618,1.17,,2.638,,,0.597,2.348,2.901,2.687,,0.25,,0.198,2.012,2.159,0.675,1.761,0.166,,,,,,,,,5.847,,,1.798,2.797,,1.44,,,,,,,,,1.286,,,,1.442,,,,,,,,2.317,,,,2.001,,1.234,0.893,1.63,
1904,2.751,1.012,,4.288,,,0.511,2.166,3.479,2.257,,0.207,,0.204,1.889,1.887,0.593,2.349,0.741,,,,,,,,,3.293,,,1.599,3.027,,1.418,,,,,,,,,1.697,,,,1.307,,,,,,,,1.861,,,,2.58,,1.197,1.385,1.623,
1905,2.932,0.748,,4.115,,,0.175,1.475,2.539,2.184,,0.389,,0.205,1.586,1.822,0.531,2.224,1.078,,,,,,,,,4.961,,,1.234,3.077,,1.277,,,,,,,,,1.575,,,,1.559,,,,,,,,2.007,,,,2.93,,1.377,1.207,1.579,
1906,3.092,0.788,,2.602,,,0.192,1.175,2.584,2.4,,0.88,,0.123,1.756,2.095,0.183,1.63,1.54,,,,,,,,,5.343,,,1.227,2.97,,1.429,,,,,,,,,1.38,,,,1.645,,,,,,,,1.991,,,,3.917,,1.545,1.274,1.94,
1907,2.382,0.538,,2.73,,,0.229,1.01,2.106,1.69,,0.993,4.518,0.175,1.403,1.656,0.286,1.009,1.618,,,,,,,,,2.059,,,1.223,1.849,,1.194,,,,,,,,,1.236,,,,0.987,,,,,,,,1.899,,,,3.14,,1.276,1.197,1.785,
1908,2.548,1.167,,2.884,,,0.317,1.159,2.108,1.387,,1.264,6.288,0.189,1.699,2.011,0.355,1.439,1.633,,,,,,,,1.061,3.292,,,1.488,2.269,,0.996,,,,,,,,,1.26,,,5.08,1.432,,,,,,,,2.251,,,,3.745,,0.909,1.676,2.414,
1909,1.982,0.718,,1.367,,,0.414,0.699,1.447,1.323,,1.123,2.953,0.296,1.292,1.75,0.531,0.853,1.153,,,,,,,,0.503,3.456,,,1.451,2.372,,1.038,,,,,,,,,0.556,,,3.823,1.361,,,,,,,,1.744,,,,2.426,,0.852,1.284,1.564,
1910,2.206,0.745,,1.42,,,0.528,0.989,1.268,1.288,,1.14,3.422,0.209,0.959,1.616,0.464,1.243,1.528,,,,,,,,0.603,2.209,,,1.127,2.1,,0.794,,,,,,,,,0.764,,,4.675,1.137,,,,,,,,1.874,,,,1.801,,0.748,1.342,1.696,2.755
1911,1.459,0.615,,1.362,,,0.402,1.247,1.199,1.036,,0.73,2.862,0.32,1.339,1.708,0.411,1.764,1.069,,,,3.606,,,,0.365,3.365,,,1.121,2.386,,1.207,,,,,,,,,0.659,,,5.21,0.819,,,,,,,,1.857,,,,2.039,,1.338,1.148,1.324,3.629
1912,1.666,1.213,,2.102,,,0.74,1.096,1.236,1.005,,1.271,2.508,0.416,2.098,1.526,0.797,1.514,1.595,,,,2.757,,,,1.307,4.723,,,1.275,2.335,,1.288,,,,,,,,,0.476,,,4.535,0.871,,,,,,,,1.865,,,,3.027,,0.929,1.282,1.45,3.154
1913,1.605,0.787,,2.765,,,0.313,0.944,1.437,0.787,,1.109,2.578,0.467,1.627,1.841,0.894,1.555,1.882,,,,2.285,,,,1.572,2.954,,,1.233,2.009,,0.667,,,,,,,,,0.258,,,4.593,0.487,,,,,,,,1.501,,,,2.485,,1.137,1.247,1.851,3.136
1914,1.369,0.69,,1.903,4.641,,0.195,1.212,1.108,0.903,,1.017,2.095,0.581,1.42,1.415,0.309,1.501,1.74,,,,2.49,,,,1.678,1.926,,,1.03,1.853,,0.819,,,,,,,,,0.319,,,5.388,0.967,,,,,,,,1.38,,,,2.365,1.885,0.883,0.646,1.288,2.742
1915,2.281,1.23,,2.583,2.851,,0.193,2.097,1.186,1.002,,1.262,2.224,0.657,1.433,1.713,1.367,2.028,2.888,,,,3.108,,,,1.671,3.734,,,1.37,3.443,,0.92,,,,,,,,,0.222,,,5.458,0.499,,,,,,,,1.454,,,,2.639,2.163,1.161,1.17,1.89,2.909
1916,2.189,0.905,,2.257,2.098,,0.292,1.246,1.554,1.65,,1.158,1.912,0.836,1.696,1.605,1.979,1.992,2.393,,,,2.166,,,,1.768,2.736,,,1.089,3.507,,1.232,,,,,,,,,0.386,,,4.463,0.656,,,,,,,,1.41,,,,2.599,2.162,1.057,0.813,1.446,2.056
1917,2.742,0.82,1.944,2.439,2.37,,0.514,1.186,1.781,2.614,,1.21,2.383,1.001,1.314,1.598,2.73,2.025,2.308,,,,1.78,,,,2.547,1.674,,,0.878,3.206,,0.955,,,,,,,,,0.301,,,4.949,0.458,,,,,,,,1.655,,,,2.875,2.3,1.347,0.743,1.088,2.478
1918,2.376,1.379,1.207,2.041,1.719,,0.444,1.051,1.135,2.964,,1.189,1.832,0.968,1.265,1.155,3.006,2,1.692,,,,2.584,,,,3.551,3.144,,,0.484,2.42,,0.791,,,,,,,,2.17,0.209,,,3.678,0.864,,,,,,,,1.601,,,,2.581,2.375,0.993,0.409,0.888,2.916
1919,2.88,0.772,1.618,1.722,1.946,,0.697,1.743,0.963,3.587,1.492,0.944,1.899,0.937,1.525,1.074,3.145,2.001,1.656,,,,2.328,,,,3.325,3.362,,,0.613,2.163,,0.864,,,,,,,,2.452,0.242,,,3.928,0.7,,,,,,,,1.654,,,,1.853,1.254,1.268,0.497,1.538,2.757
1920,2.385,1.289,2.974,2.447,2.913,,0.658,1.769,0.976,3.174,1.75,0.79,2.232,1.158,1.277,0.959,2.309,2.137,2.628,,,,1.937,,,,3.194,2.003,,,0.604,2.4,,0.787,,,,,,,,3.22,0.346,,,4.449,0.682,,,,,,,,1.321,,,,2.137,1.485,1.291,0.475,0.946,1.685
1921,1.997,0.792,2.091,0.983,2.102,,0.54,2.025,0.873,2.63,1.569,0.675,1.516,1.003,1.298,1.216,3.595,1.467,1.565,,,,1.988,,,,2.335,1.46,,,0.692,2.223,,1.046,,,,,,,,2.833,0.417,,,3.458,0.662,,,,,,,,1.485,,,,1.894,1.324,1.167,0.528,0.885,2.756
