"","15-16QA","16-16QA","35-4QA","37-4QA","38-8aQA","39-8QA","40-16QA","74-12QA","88-12QA","89-12QA","95-8QA","117-8QA","133-12QA","138-8QA","179-4QA","184-4QA","202-16QA","206-12QA","210-8QA","215-8QA","219-16QA","223-4QA","228-16QA","233-12QA","247-16QA","261-16QA","269-12QA","278-16QA","18-16QR","20-12QR","21-8QR","44-8QR","54-12QR","63-8QR","94-16QR","96-8QR","109-15QR","129-16QR","132-12QR","134-8QR","135-4QR","140-12QR","144-4QR","154-16QR","165-QR","172-12QR","180-12QR","181-8QR","182-12QR","183-8QR","187-12QR","194-12QR","205-8QR","207-4QR","213-12QR","217-12QR","227-11QR","229-4QR","236-12QR","237-8QR","238-8QR","239-4QR","240-12QR","241-4QR","245-8QR","273-8QR","276-4QR","277-12QR","46-8QV","53-16QV","62-8QV","65-8QV","178-8QV","230-16QV","248-4QV","274-8QV","125-12QP","22-12QM","23-8QM","79-8QM","36-16QMu","77-","92-","118-","224-","235-"
"1976",3.116,1.768,1.681,1.4,1.884,1.928,3.871,3.444,3.527,1.88,2.847,1.4,1.354,1.435,2.269,1.469,2.421,3.063,1.952,1.281,1.93,1.653,1.251,1.377,2.246,1.681,2.489,3.625,4.513,6.805,1.686,1.565,6.703,NA,3.78,1.766,NA,0.572,2.86,1.483,1.885,4.233,3.013,3.94,3.536,NA,1.767,1.321,NA,6.675,3.447,1.345,2.55,3.233,3.404,2.576,NA,1.574,NA,2.121,0.875,4.01,1.861,NA,1.529,5.553,3.182,2.636,1.117,4.132,NA,3.854,3.487,1.011,1.997,2.32,2.842,1.917,4.355,2.856,1.781,2.434,3.656,3.701,0.813,3.235
"1977",1.986,1.884,1.831,1.197,1.571,1.496,3.104,3.788,2.231,1.616,1.21,3.18,1.657,2.129,2.651,1.243,2.222,2.648,1.582,1.395,1.201,2.032,0.865,1.135,1.778,1.251,2.698,2.814,4.605,6.657,2.018,1.843,5.211,NA,2.764,1.509,NA,0.645,2.505,1.67,2.309,3.921,3.61,4.019,4.589,NA,2.34,1.491,NA,4.151,3.747,1.652,3.497,3.276,2.34,2.755,NA,1.567,NA,2.018,0.779,6.299,1.837,NA,0.916,4.466,4.017,2.543,1.108,4.262,NA,4.311,4.182,1.491,2.488,2.159,1.985,1.91,4.605,3.406,1.406,3.815,2.025,3.418,0.92,3.233
"1978",2.252,1.674,1.914,1.226,1.339,1.158,2.866,2.846,1.783,1.396,1.371,2.28,1.4,1.978,2.453,1.389,1.985,3.233,1.3,1.201,0.973,1.618,1.14,1.514,1.676,1.357,2.264,2.943,5.346,6.267,1.895,1.767,4.379,6.025,3.395,1.669,NA,0.746,2.54,1.315,2.296,2.826,4.143,4.892,2.868,NA,2.32,1.757,NA,3.407,3.696,1.837,3.662,2.657,1.921,2.857,NA,1.642,3.098,2.095,0.962,5.474,2.284,NA,1.262,2.827,4.105,2.718,1.272,3.519,10.282,4.813,3.73,1.307,2.384,1.756,2.332,1.891,4.162,2.705,1.584,2.449,1.721,3.54,1.054,2.556
"1979",2.573,1.587,1.645,1.577,1.712,1.536,2.194,3.429,2.652,2.182,2.297,1.688,1.148,1.775,2.647,1.412,2.258,2.832,1.348,1.173,0.852,1.575,1.726,1.075,1.865,1.715,2.283,4.038,5.094,7.457,2.189,2.286,5.643,7.086,5.233,1.788,NA,0.89,4.102,1.242,1.704,4.212,4.524,3.2,3.026,NA,1.654,1.821,NA,5.353,2.941,1.665,3.551,2.959,2.886,3.622,NA,1.5,2.642,2.34,1.484,5.302,2.142,NA,1.589,2.681,4.281,2.839,1.406,3.474,12.806,4.904,3.603,1.08,2.275,1.377,2.378,1.96,4.73,3.719,1.292,2.447,1.396,3.77,1.207,2.465
"1980",3.278,1.58,1.988,2.314,1.966,1.625,3.212,4.049,3.702,2.337,1.828,3.805,1.217,2.519,2.252,1.315,3.157,3.196,2.034,1.39,1.165,1.725,1.829,2.052,2.208,2.182,3.162,2.83,6.267,8.659,2.092,2.845,7.092,8.483,4.308,1.957,NA,0.721,4.341,1.701,1.821,4.568,3.607,4.399,3.612,NA,2.333,1.963,NA,7.113,3.108,1.945,4.082,3.305,4.096,4.431,NA,2.153,2.762,3.429,2.085,6.395,2.741,NA,1.957,3.896,4.693,3.704,1.701,4.099,10.046,4.641,4.207,0.896,2.74,1.377,2.425,2.491,4.842,4.118,1.803,3.83,2.147,4.281,1.656,2.643
"1981",2.285,1.476,1.656,1.124,1.26,1.186,2.239,3.85,2.314,1.913,1.884,3.416,1.593,1.108,2.208,1.311,2.804,2.316,1.812,1.367,1.305,1.25,0.892,0.927,1.807,1.609,2.532,2.342,4.811,7.032,1.611,1.81,5.535,8.749,5.105,2.042,NA,0.803,3.588,1.552,1.64,3.085,3.566,3.533,4.113,NA,1.805,1.586,NA,7.2,3.064,1.882,2.874,2.596,3.693,4.057,NA,1.42,3.782,3.307,1.637,5.879,2.251,NA,1.51,2.11,4.553,3.703,1.671,3.174,7.1,3.703,3.363,0.968,2.35,1.115,2.32,2.387,4.41,3.588,1.119,2.145,2.696,4.226,1.114,2.064
"1982",2.532,1.993,1.604,1.319,1.339,2.26,3.261,3.633,2.233,2.131,2.356,3.841,0.919,1.323,1.966,1.716,2.65,2.635,1.717,1.567,1.584,1.268,1.348,1.154,2.027,2.125,2.428,3.302,5.412,7.37,2.119,1.958,4.907,7.101,5.654,1.979,NA,0.831,4.13,1.435,2.117,3.65,3.243,3.363,4.296,NA,1.985,1.616,NA,5.868,3.197,1.827,3.176,2.576,4.132,4.295,NA,1.774,4.085,3.296,2.041,5.476,2.831,NA,1.701,2.703,4.685,3.797,1.98,3.932,6.479,4.402,3.685,1.013,2.766,0.74,2.334,2.705,3.82,4.187,1.573,2.864,2.057,3.384,1.14,2.136
"1983",2.141,1.838,1.618,1.245,1.241,1.761,2.47,2.974,2.036,1.518,1.759,4.123,0.943,1.743,1.917,1.028,3.078,2.778,1.47,1.43,1.997,1.115,1.074,1.086,1.523,1.173,2.702,3.152,6.735,6.627,2.435,2.326,4.059,10.534,4.305,1.67,NA,0.878,3.666,1.226,1.392,2.997,2.191,1.752,2.948,NA,1.625,1.708,NA,5.244,2.184,1.227,2.842,2.053,4.605,3.496,NA,1.656,4.744,5.166,1.405,2.291,2.782,NA,1.542,2.93,5.931,2.828,1.958,3.786,9.498,3.895,3.543,0.813,2.521,0.907,1.618,2.204,4.345,3.864,1.397,2.446,2.311,3.912,1.179,2.444
"1984",1.905,2.226,2,1.216,1.597,1.931,2.468,3.828,2.672,1.553,1.512,3.842,1.234,1.337,2.013,0.76,2.985,2.669,1.641,1.283,1.567,1.528,1.118,1.259,1.916,1.414,2.947,2.518,5.794,6.091,1.935,2.243,3.089,6.679,4.894,1.846,NA,0.467,3.389,1.122,1.101,3.47,1.899,2.934,3.476,NA,1.565,1.566,NA,4.593,2.538,1.177,2.614,2.432,3.787,2.888,NA,1.704,4.909,4.602,1.65,3.312,2.118,NA,1.602,2.579,5.041,2.912,1.807,3.458,8.406,3.617,2.977,0.979,2.42,1.071,2.02,3.053,3.533,3.371,1.259,2.187,1.689,3.932,1.324,2.324
"1985",1.938,1.817,1.479,1.276,1.478,2.262,2.755,3.806,2.377,1.909,1.8,3.147,0.743,1.245,1.816,1.292,3.194,2.259,1.59,1.02,2.074,1.414,1.03,0.995,1.798,1.867,2.922,3.636,4.781,4.718,1.873,2.015,4.089,5.792,5.141,1.602,NA,0.649,2.6,1.326,1.775,3.634,2.214,1.628,1.896,NA,1.811,1.539,NA,3.97,2.436,1.263,2.391,2.123,3.783,2.176,NA,1.693,4.751,4.757,1.121,2.837,2.211,NA,1.565,3.028,4.588,2.919,1.924,3.518,7.906,3.532,3.572,1.575,2.624,1.035,1.486,2.235,3.48,3.774,1.69,2.923,1.449,2.633,1.263,1.885
"1986",2.701,2.308,1.567,1.456,1.594,1.778,2.796,5.102,2.582,1.219,1.057,3.78,0.567,0.87,1.017,1.483,3.261,2.727,2.192,0.658,1.579,1.353,0.675,1.43,2.17,1.304,3.093,3.785,5.996,5.539,2.149,2.83,5.181,7.573,5.854,1.935,NA,0.571,1.418,0.776,1.909,2.392,1.968,0.829,0.905,NA,2.014,1.297,NA,7.415,3.156,0.782,1.641,1.566,5.546,1.135,NA,1.562,6.801,5.016,1.845,1.137,1.99,9.489,1.425,4.143,5.287,3.452,1.964,3.488,8.855,3.63,3.782,1.266,2.541,1.345,1.983,2.631,3.141,3.566,1.513,2.951,1.266,2.497,1.018,2.657
"1987",2.496,1.958,1.384,0.892,0.946,0.875,1.624,4.595,2.031,0.896,0.969,2.172,0.591,0.637,1.516,1.295,3.539,2.884,0.97,0.91,1.959,1.491,0.96,1.203,1.716,0.914,2.626,1.958,7.02,5.877,2.183,2.416,4.177,5.979,6.464,1.788,NA,0.55,2.055,1.71,1.895,3.442,2.872,3.657,1.297,NA,1.938,1.493,5.652,7.729,2.827,0.696,1.326,2.175,5.52,2.589,NA,1.743,7.437,4.022,2.025,2.354,1.97,7.763,1.278,3.229,4.691,2.637,1.977,3.17,9.232,4.044,3.594,0.932,2.73,1.246,1.333,1.765,2.586,2.819,1.665,2.618,0.726,3.547,1.076,2.832
"1988",2.04,2.127,1.52,0.685,0.976,0.781,2.185,4.265,1.726,0.969,0.893,3.092,0.761,1.227,1.307,1.002,2.854,2.343,0.985,0.873,1.806,1.732,0.905,1.217,1.521,0.727,2.517,1.964,6.427,5.981,2.219,2.235,2.839,5.191,4.103,1.46,NA,0.734,2.19,1.837,1.656,2.984,2.609,2.068,1.282,4.554,1.67,1.523,4.836,5.555,1.556,0.983,2.897,2.155,4.822,3.001,NA,1.442,6.025,4.156,2.32,3.683,2.277,7.553,1.078,2.248,5.821,2.576,1.835,3.344,8.598,3.426,2.638,1.036,2.663,1.179,1.508,2.074,3.318,3.721,1.444,2.351,1.822,4.349,1.398,2.46
"1989",2.288,2.495,1.716,0.829,1.164,0.959,1.794,5.066,1.891,1.667,1.68,2.88,1.136,1.711,1.998,1.405,3.087,2.243,0.91,1.688,1.833,1.679,1.23,1.306,2.326,1.406,3.055,2.669,5.41,4.798,2.369,1.968,2.102,4.959,5.445,1.789,NA,0.849,2.369,2.234,1.661,3.511,3.253,3.813,2.773,4.045,1.843,1.612,5.599,5.485,2.074,1.055,2.575,1.885,5.525,4.737,NA,1.705,6.94,4.098,2.497,6.87,2.744,11.916,1.508,2.9,4.817,3.451,1.715,3.418,9.448,3.854,2.597,1.039,2.623,1.163,2.049,2.492,2.722,3.034,1.599,2.43,2.038,4.135,1.41,1.566
"1990",2.551,3.009,1.423,0.546,1.229,1.097,1.675,3.529,2.137,1.629,1.335,2.916,1.636,1.373,1.739,1.466,2.573,1.695,0.927,1.345,1.421,1.673,1.198,0.594,1.537,0.983,3.005,3.066,4.711,4.316,2.454,1.616,1.804,4.764,4.997,1.277,NA,0.717,2.712,2.083,1.44,3.92,3.506,5.097,3.265,3.138,2.197,2.119,5.007,2.47,1.809,1.014,2.234,1.446,4.644,4.991,8.177,1.48,6.49,4.243,1.961,6.676,2.295,13.387,1.175,2.083,3.558,2.403,1.437,3.235,8.615,3.465,2.567,0.998,2.367,1.013,2.036,2.49,3.103,2.904,1.444,2.328,3.795,2.754,1.208,1.687
"1991",0.949,2.171,1.126,0.736,1.083,1.129,1.52,3.629,2.023,1.139,0.877,2.731,0.998,0.837,1.351,0.855,2.563,1.516,0.721,1.045,0.944,1.053,0.843,0.503,1.059,0.557,2.201,3.849,3.885,3.617,1.494,1.165,1.501,3.217,4.039,1.163,NA,0.777,1.597,2.968,1.41,2.251,2.392,1.692,2.865,3.231,2.19,1.833,7.025,2.939,1.795,0.964,2.576,1.183,3.944,3.337,3.737,1.081,4.379,1.46,1.239,4.872,1.689,12.307,0.772,1.431,2.951,2.477,1.655,2.611,7.056,2.427,2.699,0.949,1.841,0.843,0.893,1.73,3.283,1.399,0.862,1.354,3.289,3.238,1.112,1.53
"1992",0.714,1.81,1.342,1.043,1.338,1.484,2.537,4.903,2.806,3.29,1.846,3.463,1.477,1.928,1.831,1.644,2.482,1.824,1.864,1.319,1.909,0.994,2.152,0.261,1.546,0.62,3.306,4.506,4.403,4.378,2.004,0.533,3.934,4.835,7.533,1.408,3.134,0.861,2.044,4.054,1.421,2.737,2.426,2.095,4.442,7.877,2.862,1.57,5.251,3.247,3.21,1.217,2.39,1.309,5.39,3.931,4.796,1.436,6.715,2.363,2.625,6.2,1.812,11.663,1.32,3.486,3.748,4.096,1.752,2.767,7.122,3.67,2.973,1.177,1.619,1.084,1.558,1.906,3.711,1.965,1.068,2.323,1.365,3.139,1.529,1.896
"1993",0.935,1.515,1.439,1.083,1.298,1.493,2.976,3.812,2.71,2.078,1.457,3.879,1.414,1.787,1.392,1.727,3.729,2.048,1.58,1.298,1.556,0.997,1.34,0.454,1.201,1.042,3.119,3.139,3.715,4.248,2.265,0.604,4.332,5.949,5.736,1.478,1.544,0.92,1.988,4.009,1.863,3.705,2.221,1.584,3.67,5.936,2.993,1.884,6.096,2.848,2.303,1.125,2.499,1.445,5.344,4.23,4.135,1.277,5.726,3.563,2.133,6.574,2.416,10.511,1.679,2.59,4.794,3.286,1.958,2.506,7.495,3.453,3.148,0.961,2.1,1.107,1.429,1.5,3.507,2.748,1.31,2.307,0.937,3.398,1.685,2.317
"1994",0.945,1.897,1.36,1.147,1.206,1.131,3.297,4.373,2.484,1.783,1.566,3.317,1.649,2.02,1.718,1.284,3.587,2.181,1.366,1.319,1.35,1.072,1.687,0.457,1.298,0.914,2.853,3.482,3.331,5.081,2.012,0.459,3.426,5.889,6.094,1.482,1.783,0.876,2.259,4.862,1.948,2.892,2.699,1.694,3.508,6.72,2.979,1.364,5.594,3.909,3.023,1.5,2.232,1.68,4.984,3.797,3.568,1.189,6.226,2.712,2.199,5.748,1.941,9.395,1.546,2.068,4.118,2.394,1.823,2.415,7.113,3.072,2.432,1.498,2.016,1.225,1.685,2.356,3.635,2.784,1.068,1.947,0.751,3.281,1.555,1.563
"1995",1.862,1.683,1.758,1.924,1.6,2.22,3.493,3.627,2.813,1.447,2.044,2.679,1.552,2.169,1.668,1.329,3.408,1.848,1.519,1.375,1.89,1.344,1.75,0.327,1.904,0.902,2.022,5.347,4.07,5.484,2.213,0.604,4.413,5.404,5.776,1.656,2.274,0.928,2.241,5.304,1.417,2.762,3.539,1.607,3.691,8.204,2.4,1.27,6.523,6.84,3.52,1.126,2.312,1.02,5.221,3.33,2.53,1.385,5.932,3.38,2.444,5.108,1.877,9.66,1.795,2.975,3.442,2.977,2.037,2.912,7.664,3.104,3.929,1.351,2.037,2.333,1.711,1.918,3.31,2.179,1.371,2.036,0.941,4.271,1.771,1.525
"1996",2.19,1.908,1.986,1.663,1.487,2.278,3.962,4.433,1.844,1.377,2.728,2.315,2.236,1.527,1.403,1.161,2.808,2.654,1.569,1.554,2.005,1.134,1.254,0.287,1.736,0.919,2.573,5.093,4.454,5.883,2.826,0.891,4.194,6.086,6.613,1.634,3.702,0.811,2.664,5.007,1.354,2.32,2.606,1.73,3.801,11.13,2.114,1.316,6.226,3.04,3.25,1.191,2.758,1.729,5.172,3.537,2.133,1.204,7.065,2.951,2.542,4.558,1.819,9.119,2.219,3.285,4.85,3.75,2.112,3.083,5.92,3.016,3.426,1.619,2.652,1.983,1.892,1.722,2.652,2.53,1.367,1.518,1.068,3.671,1.773,2.295
"1997",1.444,1.743,1.823,1.661,1.36,1.512,3.389,3.302,2.244,1.147,2.871,1.951,1.896,1.832,1.508,1.315,2.464,2.132,1.139,1.41,1.286,1.272,1.553,0.337,1.497,1.129,2.65,3.902,3.466,4.393,1.914,0.918,2.823,5.371,5.692,1.61,2.979,0.876,2.39,4.733,1.527,3.002,2.647,1.41,3.46,8.637,2.104,1.189,5.631,3.276,3.342,1.17,2.43,1.484,5.282,3.66,3.191,1.038,7.505,3.484,2.292,4.266,1.648,8.039,1.467,2.138,4.713,3.335,2.147,2.541,4.108,3.649,3.077,0.807,2.479,1.106,1.419,1.917,2.311,2.516,1.359,1.831,0.833,3.108,1.943,1.889
"1998",1.629,1.859,1.783,2.051,1.976,2.113,3.668,4.079,3.053,1.683,3.46,2.436,1.84,1.826,1.702,1.016,1.813,2.202,1.91,1.329,2.14,1.309,1.366,0.339,2.086,2.01,2.935,3.788,4.39,5.137,1.946,1.359,3.317,8.501,7.576,1.799,4.221,0.812,2.292,6.852,1.609,3.042,2.532,1.73,4.148,11.878,3.206,1.075,6.941,5.152,4.693,1.366,1.918,1.836,7.093,3.792,3.574,1.425,8.859,4.255,3.602,6.883,1.77,9.669,1.496,3.726,6.131,4.076,2.212,3.126,6.018,4.461,4.568,1.02,2.688,1.242,1.256,2.082,2.882,2.684,1.287,1.66,0.641,2.59,2.173,2.354
"1999",1.191,1.74,1.021,1.693,1.406,1.816,3.537,2.83,1.731,0.927,2.157,2.375,1.531,1.791,1.221,0.828,2.143,2.005,1.031,1.009,2.011,1.172,1.157,0.372,1.419,1.014,2.07,2.33,3.831,4.603,1.847,1.239,2.738,6.815,5.546,1.276,2.746,1.037,1.78,4.553,1.491,3.499,1.808,1.474,3.751,6.383,2.419,1.449,6.165,4.132,3.095,1.015,1.532,1.422,4.355,3.052,2.623,1.386,7.036,3.15,2.055,3.066,1.561,4.485,1.145,2.176,5.564,2.943,1.612,2.504,4.861,3.148,3.095,0.921,2.401,0.997,0.66,1.288,2.392,2.111,1.101,1.069,0.671,3.461,2.117,1.628
"2000",1.788,2.677,1.73,2.74,1.905,2.44,3.608,4.837,2.492,1.22,1.984,3.037,2.062,2.551,1.779,1.483,2.845,2.42,1.538,1.361,2.28,1.258,0.79,0.487,1.348,1.738,3.11,4.739,3.967,5.129,3.115,1.309,3.811,8.869,6.015,1.353,3.708,0.971,1.578,6.804,1.512,4.083,2.435,2.176,4.381,10.955,2.868,1.195,6.063,4.888,3.817,1.322,1.704,1.502,5.602,1.916,3.708,1.241,7.749,4.79,2.817,3.348,1.528,4.795,0.941,3.569,6.628,4.296,2.192,2.798,4.945,4.279,2.79,0.94,2.492,0.774,1.03,1.991,3.011,3.406,1.743,2.387,0.407,3.315,2.891,1.684
"2001",1.594,1.559,1.262,1.417,1.037,2.024,2.857,3.93,1.968,0.982,2.404,2.25,1.74,1.366,1.363,1.226,2.829,1.721,1.456,0.922,2.141,1.414,1.626,0.676,1.389,1.389,1.852,2.921,4.049,4.435,2.367,1.814,2.895,6.882,5.58,1.055,3.05,1.241,1.657,4.994,1.752,3.331,2.163,2.337,3.993,9.655,2.101,1.165,6.761,2.84,2.251,1.102,2.774,1.45,4.834,2.205,3.415,1.152,6.524,3.327,1.897,3.372,1.614,4.289,0.972,2.543,5.246,3.154,2.043,2.44,3.936,3.453,2.255,1.012,2.429,0.64,1.303,2.063,2.754,2.525,1.221,2.278,0.694,3.051,2.186,1.472
"2002",1.657,2.165,1.785,1.238,1.149,1.269,2.076,4.715,1.912,0.905,2.265,2.166,1.661,1.26,1.759,1.344,3.239,2.255,1.234,1.253,2.102,0.886,1.341,0.318,1.518,1.745,2.115,3.599,3.736,4.836,2.004,1.828,1.921,5.547,5.759,1.305,3.777,0.876,1.876,6.174,1.624,3.069,1.714,1.637,3.549,9.447,2.712,1.198,7.844,4.021,2.606,1.142,3.297,1.495,6.279,3.235,6.019,1.166,6.975,1.919,2.219,3.758,1.635,6.243,1.023,3.049,4.037,3.109,1.75,2.626,4.665,3.854,2.773,1.01,2.36,0.865,1.193,1.956,3.62,3.354,1.004,3.102,0.635,3.689,2.518,1.847
"2003",1.141,1.543,0.962,0.812,0.798,1.451,2.116,5.928,1.181,0.717,2.34,1.876,1.074,0.859,1.803,0.75,2.422,1.793,1.169,0.895,1.801,0.82,1.214,0.343,1.676,1.131,2.245,3.355,3.889,4.122,2.066,1.433,2.428,4.974,7.017,1.611,3.694,0.711,2.328,6.595,1.157,3.394,1.35,2.183,3.49,9.193,3.944,1.405,7.432,4.719,2.861,0.956,2.449,1.094,7.175,3.272,6.643,0.889,7.136,2.874,2.383,3.682,1.519,5.436,0.91,2.605,2.447,3.423,1.721,2.344,4.968,3.383,2.106,0.928,2.37,0.672,0.905,2.318,3.011,2.605,0.617,2.049,0.603,2.42,2.08,1.594
"2004",1.768,2.886,1.613,1.7,1.11,1.426,2.267,6.484,0.886,0.964,2.522,2.187,1.4,1.019,1.76,0.882,3.202,2.135,1.814,0.856,2.258,1.136,1.745,0.529,2.034,1.902,2.754,4.07,4.929,4.701,2.845,1.736,2.933,3.795,7.492,1.634,3.223,0.801,2.403,6.821,1.427,3.413,2.192,3.623,4.323,10.154,4.366,1.915,6.266,3.762,2.954,1.085,2.838,1.308,9.252,4.1,5.082,1.137,9.142,3.72,2.138,4.845,1.807,4.65,1.677,3.371,4.305,3.659,2.033,2.565,4.694,4.023,2.467,1.246,2.535,0.911,1.096,1.816,2.371,2.606,0.707,2.459,1.229,3.473,2.93,2.359
"2005",1.684,1.712,1.189,1.241,0.839,1.098,2.495,5.136,1.01,0.672,2.033,1.961,1.404,1.126,1.478,0.699,4.229,2.053,1.402,1.208,1.686,1.127,1.182,0.528,1.672,1.12,1.93,3.14,3.616,4.543,2.087,1.958,2.066,2.416,6.552,1.403,2.941,0.727,3.041,6.512,1.864,2.529,2.313,3.173,4.047,8.762,3.104,1.682,6.976,3.978,3.458,1.325,2.854,1.532,6.707,3.749,4.531,1.304,7.081,3.107,2.147,5.356,1.762,4.262,1.258,2.266,3.859,2.973,2.446,2.089,4.734,3.372,3.903,0.984,2.626,0.87,0.997,1.206,1.756,2.191,0.724,1.835,0.938,3.518,2.432,2.089
"2006",2.026,1.794,1.474,1.37,1.062,1.544,2.006,6.238,1.069,1.035,2.566,2.162,1.636,1.319,1.415,0.893,3.123,1.881,1.491,1.416,1.9,1.049,1.518,0.765,2.289,1.351,2.265,3.516,3.88,4.565,1.977,2.032,4.252,2.65,7.348,1.424,3.141,0.771,3.411,8.797,1.592,1.964,1.896,4.273,3.709,10.366,3.524,1.8,7.032,4.866,3.295,1.226,3.837,1.655,7.692,2.887,5.126,1.475,5.943,1.91,2.327,5.807,1.898,4.182,1.131,3.202,3.455,2.829,2.185,2.23,4.638,4.09,3.964,1.308,2.908,1.073,1.083,0.846,1.382,1.927,0.642,1.618,1.417,3.664,2.925,1.705
"2007",1.556,2.018,1.514,1.409,1.043,1.919,2.317,5.146,1.365,0.821,2.497,2.138,1.397,1.439,1.201,0.952,2.784,1.349,1.587,1.216,2.026,1.246,1.322,0.774,1.694,1.291,2.391,3.751,3.759,3.802,2.129,1.781,4.996,2.009,5.262,1.434,2.73,0.753,2.331,6.974,1.614,1.479,1.668,2.518,3.601,6.559,2.527,1.547,5.876,3.11,2.642,0.959,3.433,2.661,5.683,2.443,3.785,1.182,7.137,2.448,2.328,5.32,1.382,3.845,0.952,2.33,3.854,2.955,2.711,2.552,3.531,3.153,2.568,1.18,2.555,1.062,1.16,1.157,1.856,2.109,0.861,2.103,1.145,2.953,2.386,1.696
"2008",1.513,1.865,1.37,1.453,1.158,1.893,1.787,6.709,1.328,1.323,3.228,1.512,0.623,1.129,1.136,1.055,2.948,1.763,2.237,1.701,1.978,1.121,1.452,0.649,1.51,1.489,2.401,3.019,4.085,4.013,2.132,1.789,5.445,3.11,6.426,1.587,2.924,0.884,2.545,8.128,1.641,1.641,1.724,3.113,3.143,7.044,2.913,1.428,5.993,3.506,2.872,0.71,3.591,1.396,6.378,2.46,4.354,1.395,7.211,2.675,1.589,4.297,1.098,2.928,1.206,2.602,4.221,3.3,2.097,2.325,3.642,3.737,3.415,1.153,3.109,0.901,1.086,1.312,2.266,2.391,0.708,2.215,1.489,2.936,1.991,2.051
"2009",2.264,2.389,1.407,1.947,1.565,2.863,2.054,6.805,2.388,1.494,3.079,2.307,2.099,1.746,1.241,0.927,3.35,2.166,2.888,1.49,2.009,1.546,1.423,1.634,1.683,2.382,3.256,4.851,6.065,6.017,3.029,1.996,5.073,3.857,8.07,1.642,3.616,1.045,2.786,7.159,1.639,2.052,2.085,5.148,4.062,8.441,4.282,1.694,5.633,4.298,3.014,0.752,3.974,1.801,7.438,3.768,5.658,0.982,7.281,3.349,1.727,5.405,1.535,3.628,1.662,3.687,5.507,3.446,2.278,2.259,4.765,5.099,5.278,1.523,3.73,1.043,1.784,1.531,3.146,2.475,0.873,2.479,2.177,3.476,2.659,3.005
"2010",1.909,2.213,1.164,0.819,1.289,2.091,1.641,5.076,1.659,1.038,2.69,1.801,1.479,1.138,1.262,1.008,2.498,1.788,2.406,1.296,1.841,1.314,1.087,0.689,1.718,2.336,2.598,3.961,5.188,4.039,2.124,1.931,2.471,3.83,7.733,1.329,3.13,1.11,2.922,8.816,1.335,1.905,2.055,6.648,3.856,5.792,3.344,1.587,6.932,6.565,2.676,0.81,3.519,1.375,7.916,3.716,4.827,1.204,4.646,2.878,2.283,3.88,1.544,2.675,1.141,2.581,3.913,1.977,2.428,2.239,4.597,4.128,5.419,1.303,3.053,1.031,1.103,1.509,2.642,3.114,0.57,2.935,2.158,3.508,2.083,2.153
"2011",1.678,2.239,1.689,0.848,1.313,1.53,2.072,5.142,1.965,1.269,2.755,2.131,2.064,1.603,1.009,1.11,2.195,1.985,2.017,1.306,1.991,1.362,1.238,1.098,1.393,1.493,2.318,2.985,3.767,3.95,2.501,1.936,2.191,4.042,5.747,1.318,3.772,0.99,2.293,9.121,1.578,1.764,1.582,4.905,3.768,5.198,2.486,1.451,5.039,4.133,2.571,0.93,3.52,1.139,5.194,2.917,3.936,1.19,7.063,3.202,1.778,3.07,1.532,3.135,0.914,2.112,3.388,2.438,2.656,1.944,3.845,3.317,3.836,1.322,2.715,1.169,1.671,1.368,2.509,2.299,1.162,2.17,2.212,3.142,2.481,1.926
"2012",1.857,1.619,1.628,0.784,1.2,1.858,1.621,4.087,1.239,1.041,2.165,1.503,1.471,0.915,1.062,0.854,1.694,1.612,1.524,1.206,1.925,1.148,1.094,0.997,1.255,0.99,1.956,2.893,4.321,3.798,2.136,1.811,2.842,3.791,5.276,1.45,4.08,0.868,1.915,7.339,1.703,1.897,1.882,3.596,3.707,3.988,3.216,1.298,6.183,2.842,3.831,0.845,2.972,1.053,5.265,2.486,5.085,0.99,7.596,2.548,1.768,2.751,1.281,2.447,1.032,1.992,3.884,2.523,2.6,2.299,3.615,3.701,3.945,0.926,2.551,1,1.531,1.112,2.109,2.226,1.383,1.878,2.111,2.454,2.369,2.198
"2013",2.21,1.904,1.329,0.72,1.358,1.584,1.887,3.545,1.973,1.883,2.194,1.307,1.581,1.606,1.182,0.958,2.254,2.307,2.172,1.354,1.854,1.252,1.352,0.737,1.686,1.302,2.136,2.992,4.78,4.298,2.481,2.124,2.83,3.994,6.177,1.402,4.522,1.004,2.145,7.412,1.535,1.982,2.078,3.994,4.397,6.992,3.064,1.248,5.368,2.277,3.394,0.666,2.65,1.018,7.721,3.593,4.16,0.788,6.899,2.653,1.743,3.121,1.579,2.451,1.339,2.357,3.88,2.586,2.169,2.244,3.801,4.23,3.597,1.067,2.977,0.862,2.097,1.22,2.43,2.311,1.153,2.459,1.937,2.224,2.623,2.3
